slug,name,industry,subtype,parent,batch,folder,table_count,row_count,tables
"a-mano-panino-c9akHU","","","","","1","batch-01","20","219","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_food_beverage search_index v_industry_facts_slugs"
"a-ms-mary-taxi-service-llc","","","","","1","batch-01","23","91","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_transportation search_index v_industry_facts_slugs"
"a-pair-a-dice-charter","","","","","1","batch-01","12","39","entity_amenities entity_completeness_v entity_items_norm_v entity_items_v entity_offer entity_sources entity_tags entity_theme industry_charter_fishing offerings search_index v_industry_facts_slugs"
"a-peach-of-a-beach-house","","","","","1","batch-01","6","19","entity_completeness_v entity_modules entity_theme industry_vacation_rental search_index v_industry_facts_slugs"
"a-perdido-hair-salon-j8I7gw","","","","","1","batch-01","25","177","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_personal_care search_index v_industry_facts_slugs"
"a-shop-for-women","","","","","1","batch-01","25","157","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_event_planner_index_full ai_photo_index_full ai_unified_search_items_full entity_address_areas entity_attributes entity_completeness_v entity_events entity_good_for entity_google_maps_links entity_google_reviews entity_highlights entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_retail search_index v_industry_facts_slugs"
"a-specialty-bakery","","","","","1","batch-01","37","526","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full ai_unified_search_items_full catalog_items catalog_section_days catalog_sections entity_address_areas entity_attributes entity_completeness_v entity_good_for entity_google_maps_links entity_google_reviews entity_highlights entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_offer_section entity_photos entity_reviews entity_sources entity_tags entity_theme industry_cafe_dessert industry_food_beverage legacy_photo_migration_queue menu_items menu_section_days menu_section_details menu_sections search_index v_industry_facts_slugs"
"a-specialty-bakery-and-party-shoppe-gulf-shores","","","","","1","batch-01","24","250","catalog_items catalog_section_days catalog_sections entity_completeness_v entity_gallery entity_hours entity_items_norm_v entity_items_v entity_offer entity_offer_section entity_photos entity_sections entity_theme industry_cafe_dessert menu_items menu_section_days menu_section_details menu_sections recovery_import_log search_index tourist_saves tourist_seen tourist_swipe_events v_industry_facts_slugs"
"a-to-z-beverage","","","","","1","batch-01","18","84","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_reviews entity_tags entity_theme industry_retail search_index v_industry_facts_slugs"
"a2z-powersport","","","","","1","batch-01","39","227","activity_options ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full ai_unified_search_items_full bookable_resources bookable_resources_json_backup entity_attributes entity_completeness_v entity_faqs entity_google_maps_links entity_google_reviews entity_highlights entity_hours entity_items_norm_v entity_items_v entity_known_for entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_seo entity_sources entity_specials entity_tags entity_theme faqs industry_watersport legacy_photo_migration_queue offering_prices offerings pricing_items requirements search_index v_industry_facts_slugs whats_included"
